id;title;description;date;desired_hourly_wage;seen;responded
1;Car Carolina;../fake-data/blob/hipster.txt;2021-11-07T03:09:55;1144;false;true
2;azure Shoes;../fake-data/blob/hipster.txt;2021-11-07T04:26:49;22937;false;true
3;Bedfordshire;../fake-data/blob/hipster.txt;2021-11-06T23:48:12;54207;true;false
4;Clothing;../fake-data/blob/hipster.txt;2021-11-06T21:55:32;20847;true;true
5;Garden Automotive;../fake-data/blob/hipster.txt;2021-11-06T18:45:22;26788;false;true
6;Fresh;../fake-data/blob/hipster.txt;2021-11-06T05:29:04;44083;false;false
7;Music;../fake-data/blob/hipster.txt;2021-11-06T10:42:46;23676;true;false
8;International encoding;../fake-data/blob/hipster.txt;2021-11-06T07:51:50;54482;true;false
9;foreground;../fake-data/blob/hipster.txt;2021-11-06T12:00:23;97607;true;true
10;Health;../fake-data/blob/hipster.txt;2021-11-06T23:45:17;24290;false;true
