id;title;logo;logo_content_type;description;ideatype;interest;distribution;investment;active;date
1;Specialist generate Lead;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL9;1;0;64112;false;2021-10-26T15:18:42
2;mission-critical Fresh Kip;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL9;1;1;61216;true;2021-10-25T23:51:41
3;generating Grass-roots Pines;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL3;0;1;98295;true;2021-10-26T14:19:25
4;AI Mobility;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL1;0;0;71336;true;2021-10-26T08:36:32
5;Taiwan;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL7;1;1;28952;true;2021-10-26T08:48:47
6;Leone Shilling;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL5;0;1;4931;true;2021-10-26T02:45:18
7;Officer;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL1;0;0;70342;true;2021-10-26T08:25:38
8;User-friendly Public-key;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL8;0;0;50969;false;2021-10-26T04:27:05
9;synergize multi-tasking;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL8;0;0;5050;false;2021-10-26T02:01:15
10;Berkshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;LEVEL9;1;0;31843;true;2021-10-26T07:06:22
