id;title;description;date;value;billed;from_parent_idea;auto
1;e-tailers cultivate Ball;Multi-tiered Djibouti;2021-10-25T19:33:45;14246;true;false;true
2;Jewelery Manager;knowledge Data;2021-10-25T19:07:25;47604;true;false;false
3;Secured purple;Chips instruction bandwidth;2021-10-26T17:28:02;41754;false;true;false
4;feed;Kids;2021-10-26T04:12:03;82644;false;false;false
5;Beauty Missouri;HTTP;2021-10-26T03:12:58;54539;true;true;true
6;Jewelery Investor Ergonomic;Berkshire;2021-10-26T02:08:13;80237;false;false;true
7;Avon Computers Hawaii;adapter invoice;2021-10-26T09:03:22;44932;true;false;true
8;program hard end-to-end;Mouse invoice Computers;2021-10-26T08:55:26;29954;false;false;false
9;Stand-alone application;Plastic Refined Chief;2021-10-25T21:56:42;9363;true;true;false
10;Mobility bandwidth Buckinghamshire;Consultant deploy Manager;2021-10-25T23:05:40;21808;false;false;false
