id;title;description;date;value;billed;to_child_idea;auto
1;Tuna niches;Bedfordshire back-end Legacy;2021-10-26T17:38:21;37180;false;false;true
2;orchid;Licensed Account;2021-10-26T17:24:23;60267;true;false;true
3;Refined Specialist Automated;Rial Agent Specialist;2021-10-25T22:13:50;6976;false;false;true
4;synthesize African Specialist;Refined discrete Assistant;2021-10-25T23:42:47;90550;false;true;true
5;deposit card white;Pennsylvania online;2021-10-26T13:03:37;58993;false;true;true
6;invoice;Practical neutral;2021-10-25T21:26:03;88333;true;false;true
7;Loan;innovative neutral action-items;2021-10-25T23:52:14;19998;true;false;true
8;copy gold;Forges;2021-10-25T19:33:11;27693;true;true;false
9;program Indiana primary;Home Guilder;2021-10-26T05:41:40;99985;true;true;false
10;Streamlined XML withdrawal;copying;2021-10-26T17:24:53;62627;false;false;false
