id;jhi_key;name;key_name;description;key_description;category;points;count_per_day;creation_date
1;Generic Gloves Knoll;turquoise maroon Programmable;orchid;../fake-data/blob/hipster.txt;Generic withdrawal relationships;COMMENT;46943;69332;2021-10-26T03:10:24
2;Mandatory Nebraska;Cove Adaptive Credit;payment deposit Human;../fake-data/blob/hipster.txt;Unbranded paradigms;SHOP;52577;48118;2021-10-25T22:21:35
3;demand-driven Computers schemas;deliver Gorgeous deposit;Albania;../fake-data/blob/hipster.txt;Programmable Pierre;SHOP;21819;89450;2021-10-26T14:55:55
4;Illinois;robust Concrete Steel;Terrace;../fake-data/blob/hipster.txt;Account;RATING;38959;48309;2021-10-26T17:14:58
5;pink Car;Fresh orchestrate Rand;Nebraska;../fake-data/blob/hipster.txt;withdrawal Cayman Right-sized;COMMENT;70754;46776;2021-10-25T23:15:29
6;Orchestrator Handmade;Garden Indiana auxiliary;invoice circuit Ergonomic;../fake-data/blob/hipster.txt;Cotton local;MISCELLANEOUS;25656;53226;2021-10-26T02:54:22
7;enable task-force iterate;International Orchestrator navigating;methodology Berkshire interface;../fake-data/blob/hipster.txt;Via Wooden;PRODUCT;75543;48981;2021-10-26T07:06:51
8;Mobility global;hacking primary;withdrawal Idaho Small;../fake-data/blob/hipster.txt;Ergonomic deposit white;SERVICE;82828;3607;2021-10-26T04:37:43
9;Ball Movies Virginia;Fantastic rich;transition Cambodia Investment;../fake-data/blob/hipster.txt;Granite Central;COMMENT;88210;95255;2021-10-26T09:30:44
10;Music Berkshire reintermediate;Awesome Automated;Verde;../fake-data/blob/hipster.txt;Cotton;MISCELLANEOUS;1753;59351;2021-10-26T07:22:40
