id;jobtitle;jobdescription;date_start;date_end;cost_hour;hours;total;billed;auto
1;Buckinghamshire Computers neural;../fake-data/blob/hipster.txt;2021-10-26T08:24:09;2021-10-26T00:19:26;59979;71917;86457;false;false
2;e-business bypass;../fake-data/blob/hipster.txt;2021-10-26T11:36:52;2021-10-25T19:45:51;14822;41586;99103;true;false
3;New connect Colorado;../fake-data/blob/hipster.txt;2021-10-26T18:00:15;2021-10-25T19:50:38;97001;56587;95424;true;true
4;Avenue dynamic haptic;../fake-data/blob/hipster.txt;2021-10-26T11:25:58;2021-10-25T21:03:17;65563;90340;83331;false;true
5;Books;../fake-data/blob/hipster.txt;2021-10-25T20:26:54;2021-10-26T16:42:38;14422;48849;7647;false;true
6;Specialist Dakota;../fake-data/blob/hipster.txt;2021-10-26T11:27:58;2021-10-26T00:46:14;89806;37175;49446;false;true
7;Dynamic;../fake-data/blob/hipster.txt;2021-10-26T11:10:30;2021-10-26T10:24:21;11473;98810;73254;false;false
8;bifurcated payment;../fake-data/blob/hipster.txt;2021-10-26T02:00:02;2021-10-26T06:40:45;3197;90458;36477;false;false
9;Assurance grey Soft;../fake-data/blob/hipster.txt;2021-10-26T11:22:37;2021-10-26T05:44:42;84925;49126;12241;true;true
10;Lodge Lead enable;../fake-data/blob/hipster.txt;2021-10-26T01:18:40;2021-10-25T23:33:12;12279;70585;70130;false;true
